county_name,Population,"Pop %, Male","Pop %, Female","Pop %, Age <18","Pop %, Age 18-24","Pop %, Age 25-34","Pop %, Age 35-44","Pop %, Age 45-54","Pop %, Age 55-64","Pop %, Age 65+","Pop %, White","Pop %, Black","Pop %, N. American & Alaskan","Pop %, Asian","Pop %, Hawaiian & P. Islander","Pop %, Other","Pop %, 2+ Races","Pop %, 9-12th Grade","Pop %, High School","Pop %, Some College No Degree","Pop %, Assoc Degree","Pop %, Bach Degree","Pop %, Graduate Degree",Median Household Income,"Pop %, Priv Health Ins","Pop %, No Priv Health Ins","Pop %, Publ Health Ins","Pop %, No Publ Health Ins",FIPS
FORSYTH,382295.0,47.4,52.6,22.7,9.7,13.3,12.0,12.7,13.4,16.1,66.0,26.4,0.5,2.3,0.0,2.3,2.4,4.4,17.9,13.6,6.1,13.7,8.7,52017.0,64.5,34.7,35.0,64.2,37067
BLADEN,32722.0,49.6,50.4,20.9,8.8,8.9,11.4,12.1,16.3,21.5,,,,,,,,7.6,24.4,18.1,5.2,10.9,3.5,45187.0,62.6,36.4,49.8,49.2,37017
CARTERET,69473.0,47.8,52.2,17.0,7.5,9.1,10.5,13.2,16.9,25.7,90.1,4.9,0.4,0.9,0.0,0.8,2.9,5.3,19.8,19.6,6.1,13.8,9.4,60186.0,68.0,30.1,38.6,59.5,37031
MARTIN,22447.0,48.6,51.4,23.3,7.8,10.7,10.7,9.6,13.6,24.3,,,,,,,,7.4,19.9,14.9,8.8,7.3,4.3,38767.0,52.3,47.1,55.3,44.1,37117
ROCKINGHAM,91010.0,48.5,51.5,20.2,7.3,10.4,11.6,14.6,15.3,20.6,,,,,,,,9.1,30.0,13.5,6.2,6.9,3.4,43230.0,62.4,36.4,39.3,59.4,37157
GASTON,224529.0,48.4,51.6,22.2,7.8,13.7,12.4,14.1,13.0,16.8,76.3,17.3,0.4,1.5,0.2,1.9,2.2,7.3,20.8,16.0,6.5,11.6,4.8,56595.0,60.6,38.2,37.3,61.5,37071
MOORE,100880.0,48.4,51.6,21.1,6.0,12.8,11.3,11.3,13.1,24.4,80.9,12.0,0.7,1.4,0.2,3.1,1.6,3.6,15.7,15.3,7.0,18.8,9.8,62469.0,62.4,32.6,41.4,53.6,37125
STANLY,62806.0,49.6,50.4,20.9,8.2,13.7,11.0,13.6,13.2,19.4,82.0,10.4,1.8,1.7,0.1,1.0,2.9,8.9,21.3,17.0,8.5,9.1,3.9,63292.0,62.7,35.0,36.3,61.4,37167
CHATHAM,74470.0,47.0,53.0,19.9,6.2,11.0,9.9,13.2,14.4,25.4,77.4,10.5,0.1,1.6,0.0,6.8,3.7,4.7,15.9,9.9,6.2,16.0,16.6,66857.0,70.0,29.3,39.0,60.3,37037
WAKE,1111761.0,48.6,51.4,23.6,9.1,14.7,14.8,14.1,11.5,12.0,64.6,20.8,0.5,7.5,0.0,4.1,2.5,2.7,10.2,11.0,5.2,22.1,14.3,84215.0,76.4,22.9,23.5,75.8,37183
PASQUOTANK,39824.0,49.8,50.2,22.2,9.5,14.2,9.0,12.3,15.2,17.6,,,,,,,,5.8,20.2,19.9,4.1,11.4,4.9,57268.0,69.7,26.1,31.9,63.9,37139
ROBESON,130625.0,48.4,51.6,24.5,10.2,12.7,11.9,12.1,12.8,15.7,26.9,23.3,40.4,0.5,0.0,7.2,1.7,10.1,22.5,12.3,6.5,6.5,3.2,35035.0,45.5,53.3,50.1,48.7,37155
ANSON,24446.0,49.2,50.8,18.2,10.1,10.3,12.8,14.0,14.9,19.8,43.0,49.2,0.0,5.4,0.1,0.0,2.3,9.4,28.8,14.2,5.8,9.2,3.4,41097.0,53.4,39.9,41.9,51.4,37007
MCDOWELL,45756.0,50.8,49.2,19.1,5.8,12.6,11.6,14.1,15.2,21.6,,,,,,,,8.4,25.7,17.3,9.0,8.5,3.6,45236.0,61.3,36.4,38.9,58.9,37111
FRANKLIN,69685.0,49.7,50.3,21.9,8.3,11.9,12.9,13.4,14.7,16.9,68.3,23.5,0.3,0.3,0.0,3.2,4.4,5.3,21.4,15.6,10.0,11.5,3.9,57099.0,71.7,27.1,31.8,67.0,37069
MACON,35858.0,48.9,51.1,17.7,8.0,6.1,11.4,11.9,14.9,30.0,92.5,1.9,0.2,2.0,0.0,3.0,0.4,6.3,22.3,18.5,6.7,9.8,7.1,44078.0,60.7,38.8,47.8,51.7,37113
BRUNSWICK,142820.0,48.7,51.3,14.6,5.1,10.3,9.8,9.3,18.3,32.7,85.6,7.5,0.6,0.7,0.0,1.4,4.3,4.0,21.2,17.8,9.5,16.8,9.6,63668.0,70.2,29.1,48.2,51.1,37019
TRANSYLVANIA,34385.0,50.7,49.3,16.0,8.9,11.4,9.7,9.1,16.0,28.8,,,,,,,,3.7,18.2,18.0,6.1,16.5,9.9,56259.0,71.8,26.7,40.4,58.0,37175
BEAUFORT,46994.0,48.9,51.1,19.8,5.3,10.8,11.0,13.0,15.4,24.7,,,,,,,,5.3,22.7,17.4,8.6,9.8,6.4,50434.0,62.1,37.1,41.3,57.9,37013
COLUMBUS,55508.0,50.0,50.0,20.7,9.7,10.3,12.8,12.3,13.7,20.4,60.7,27.5,3.9,1.2,0.0,2.8,3.9,7.0,28.1,12.1,7.4,8.2,4.3,41264.0,53.4,41.4,41.9,53.0,37047
LINCOLN,86111.0,49.5,50.5,21.1,6.8,11.3,11.8,15.5,16.1,17.5,91.1,6.2,0.4,0.9,0.1,0.5,0.8,4.2,23.5,15.4,8.9,12.4,6.3,71514.0,71.4,27.8,30.4,68.7,37109
